,district,urban_rural,household,iron_sheet,tiles,concrete,asbestos,grass,makuti,No_Tin,mud_dung,others,county,province
113,MBOONI,Rural,36713,33667,234,7,524,2184,55,20,7,15,Makueni,EASTERN
114,KIBWEZI,Rural,45794,38319,413,44,683,5987,278,17,24,29,Makueni,EASTERN
115,NZAUI,Rural,40601,33716,237,45,348,6141,59,32,7,16,Makueni,EASTERN
116,NAIROBI WEST,Urban,212165,167894,21855,13741,6820,54,212,1014,128,447,Nairobi,NAIROBI
117,NAIROBI EAST,Urban,369265,234774,29909,88619,13229,58,233,1758,62,623,Nairobi,NAIROBI
118,NAIROBI NORTH,Urban,326398,198719,20910,95455,9057,52,205,1513,82,405,Nairobi,NAIROBI
119,WESTLANDS,Urban,75287,40310,22943,10333,1357,21,61,88,11,163,Nairobi,NAIROBI
120,NAIROBI WEST,Rural,0,0,0,0,0,0,0,0,0,0,Nairobi,NAIROBI
121,NAIROBI EAST,Rural,0,0,0,0,0,0,0,0,0,0,Nairobi,NAIROBI
122,NAIROBI NORTH,Rural,0,0,0,0,0,0,0,0,0,0,Nairobi,NAIROBI
123,WESTLANDS,Rural,0,0,0,0,0,0,0,0,0,0,Nairobi,NAIROBI
124,GARISSA,Urban,20635,15671,331,72,740,2407,1134,47,177,56,Garissa,NORTH EASTERN
125,LAGDERA,Urban,1849,1121,34,1,28,571,63,11,19,1,Garissa,NORTH EASTERN
126,FAFI,Urban,326,255,0,0,2,68,0,0,0,1,Garissa,NORTH EASTERN
127,IJARA,Urban,2479,1723,12,3,68,635,33,4,0,1,Garissa,NORTH EASTERN
128,WAJIR SOUTH,Urban,1474,916,3,3,11,507,4,2,28,0,Wajir,NORTH EASTERN
129,WAJIR EAST,Urban,12674,4072,94,69,86,8257,69,16,1,10,Wajir,NORTH EASTERN
130,WAJIR WEST,Urban,659,265,1,0,8,384,0,0,1,0,Wajir,NORTH EASTERN
131,MANDERA CENTRAL,Urban,8193,2721,52,47,94,4049,1186,15,14,15,Mandera,NORTH EASTERN
132,MANDERA EAST,Urban,12579,5441,43,48,127,3986,2752,26,48,108,Mandera,NORTH EASTERN
133,MANDERA WEST,Urban,2526,1550,7,5,6,930,14,2,11,1,Mandera,NORTH EASTERN
134,GARISSA,Rural,11189,391,79,11,36,8982,1656,10,12,12,Garissa,NORTH EASTERN
